Date,GDP
2005-01,"1,591,349"
2005-02,"1,592,499"
2005-03,"1,587,122"
2005-04,"1,598,907"
2005-05,"1,605,776"
2005-06,"1,610,588"
2005-07,"1,614,748"
2005-08,"1,620,834"
2005-09,"1,622,168"
2005-10,"1,627,587"
2005-11,"1,636,455"
2005-12,"1,645,055"
2006-01,"1,649,021"
2006-02,"1,652,615"
2006-03,"1,656,380"
2006-04,"1,656,732"
2006-05,"1,657,513"
2006-06,"1,654,837"
2006-07,"1,657,920"
2006-08,"1,659,196"
2006-09,"1,656,876"
2006-10,"1,659,594"
2006-11,"1,663,364"
2006-12,"1,673,956"
2007-01,"1,670,535"
2007-02,"1,678,760"
2007-03,"1,682,294"
2007-04,"1,684,443"
2007-05,"1,691,753"
2007-06,"1,696,447"
2007-07,"1,696,013"
2007-08,"1,700,841"
2007-09,"1,697,794"
2007-10,"1,699,351"
2007-11,"1,700,851"
2007-12,"1,694,291"
2008-01,"1,701,279"
2008-02,"1,698,189"
2008-03,"1,701,248"
2008-04,"1,704,814"
2008-05,"1,704,784"
2008-06,"1,708,170"
2008-07,"1,715,622"
2008-08,"1,714,295"
2008-09,"1,714,712"
2008-10,"1,712,871"
2008-11,"1,695,651"
2008-12,"1,672,410"
2009-01,"1,664,411"
2009-02,"1,655,773"
2009-03,"1,642,352"
2009-04,"1,637,034"
2009-05,"1,635,329"
2009-06,"1,637,232"
2009-07,"1,639,863"
2009-08,"1,639,145"
2009-09,"1,651,417"
2009-10,"1,653,106"
2009-11,"1,662,710"
2009-12,"1,667,429"
2010-01,"1,677,635"
2010-02,"1,686,315"
2010-03,"1,694,468"
2010-04,"1,692,492"
2010-05,"1,700,050"
2010-06,"1,704,611"
2010-07,"1,707,189"
2010-08,"1,712,496"
2010-09,"1,712,435"
2010-10,"1,721,370"
2010-11,"1,729,551"
2010-12,"1,741,609"
2011-01,"1,747,291"
2011-02,"1,744,126"
2011-03,"1,749,485"
2011-04,"1,749,674"
2011-05,"1,745,781"
2011-06,"1,753,348"
2011-07,"1,765,251"
2011-08,"1,774,000"
2011-09,"1,778,754"
2011-10,"1,778,522"
2011-11,"1,780,501"
2011-12,"1,789,093"
2012-01,"1,787,647"
2012-02,"1,783,169"
2012-03,"1,787,826"
2012-04,"1,794,148"
2012-05,"1,797,125"
2012-06,"1,798,133"
2012-07,"1,801,749"
2012-08,"1,799,417"
2012-09,"1,799,218"
2012-10,"1,798,409"
2012-11,"1,806,944"
2012-12,"1,806,713"
2013-01,"1,816,978"
2013-02,"1,822,370"
2013-03,"1,828,635"
2013-04,"1,831,835"
2013-05,"1,836,826"
2013-06,"1,830,161"
2013-07,"1,840,718"
2013-08,"1,848,826"
2013-09,"1,855,132"
2013-10,"1,865,193"
2013-11,"1,869,835"
2013-12,"1,862,159"
2014-01,"1,863,035"
2014-02,"1,872,372"
2014-03,"1,877,319"
2014-04,"1,881,089"
2014-05,"1,892,936"
2014-06,"1,901,582"
2014-07,"1,904,250"
2014-08,"1,900,262"
2014-09,"1,907,872"
2014-10,"1,913,355"
2014-11,"1,914,614"
2014-12,"1,917,559"
2015-01,"1,909,603"
2015-02,"1,907,049"
2015-03,"1,905,988"
2015-04,"1,905,441"
2015-05,"1,904,409"
2015-06,"1,909,593"
2015-07,"1,914,406"
2015-08,"1,918,458"
2015-09,"1,910,530"
2015-10,"1,912,301"
2015-11,"1,916,787"
2015-12,"1,918,886"
2016-01,"1,930,434"
2016-02,"1,924,854"
2016-03,"1,917,766"
2016-04,"1,922,103"
2016-05,"1,911,266"
2016-06,"1,920,490"
2016-07,"1,931,887"
2016-08,"1,936,423"
2016-09,"1,941,422"
2016-10,"1,940,404"
2016-11,"1,947,701"
2016-12,"1,953,152"
2017-01,"1,962,254"
2017-02,"1,969,304"
2017-03,"1,978,060"
2017-04,"1,987,668"
2017-05,"1,992,055"
2017-06,"1,996,878"
2017-07,"1,996,019"
2017-08,"1,994,122"
2017-09,"1,999,220"
2017-10,"1,999,518"
2017-11,"2,008,970"
2017-12,"2,014,340"
2018-01,"2,020,721"
2018-02,"2,031,403"
2018-03,"2,039,914"
2018-04,"2,040,275"
2018-05,"2,047,718"
2018-06,"2,050,188"
2018-07,"2,054,500"
2018-08,"2,056,138"
2018-09,"2,059,567"
2018-10,"2,063,118"
2018-11,"2,059,427"
2018-12,"2,062,691"
2019-01,"2,067,478"
2019-02,"2,061,962"
2019-03,"2,073,732"
2019-04,"2,086,598"
2019-05,"2,092,359"
2019-06,"2,096,319"
2019-07,"2,097,225"
2019-08,"2,097,381"
2019-09,"2,098,372"
2019-10,"2,099,541"
2019-11,"2,099,164"
2019-12,"2,109,773"
2020-01,"2,111,889"
2020-02,"2,116,239"
2020-03,"1,956,667"
2020-04,"1,747,909"
2020-05,"1,827,719"
2020-06,"1,935,937"
2020-07,"1,986,260"
2020-08,"2,006,168"
2020-09,"2,024,936"
2020-10,"2,037,235"
2020-11,"2,050,923"
2020-12,"2,056,578"
2021-01,"2,069,959"
2021-02,"2,074,161"
2021-03,"2,095,037"
2021-04,"2,074,294"
2021-05,"2,068,403"
2021-06,"2,086,880"
2021-07,"2,101,011"
2021-08,"2,118,070"
2021-09,"2,127,260"
2021-10,"2,144,935"
2021-11,"2,156,435"
2021-12,"2,165,059"
2022-01,"2,157,548"
2022-02,"2,173,306"
2022-03,"2,188,890"
2022-04,"2,187,675"
2022-05,"2,193,450"
2022-06,"2,198,676"
2022-07,"2,201,010"
2022-08,"2,206,930"
2022-09,"2,210,482"
2022-10,"2,206,747"
2022-11,"2,205,410"
2022-12,"2,198,020"
2023-01,"2,219,088"
2023-02,"2,223,989"
2023-03,"2,230,182"
2023-04,"2,229,312"
2023-05,"2,231,269"
2023-06,"2,228,073"
2023-07,"2,228,857"
2023-08,"2,231,565"
2023-09,"2,230,741"
2023-10,"2,234,639"
2023-11,"2,238,191"
2023-12,"2,234,502"
2024-01,"2,240,503"
2024-02,"2,253,228"
2024-03,"2,252,260"
2024-04,"2,260,383"
2024-05,"2,262,806"
2024-06,"2,266,142"
2024-07,"2,271,482"
2024-08,"2,272,184"
2024-09,"2,278,538"
2024-10,"2,285,032"
2024-11,"2,279,543"
2024-12,"2,283,972"
2025-01,"2,293,313"
2025-02,"2,288,491"
2025-03,"2,292,911"
2025-04,"2,289,694"
2025-05,"2,287,491"
2025-06,"2,285,685"